id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5769150,Serragli TERRACE with 360' views!,4156491,Apartments Florence,,Centro Storico,43.76785,11.24585,Entire home/apt,240,3,50,2018-09-22,0.66,136,0,2,048017LTN3957
5769170,Elegant and cozy apartment,29930025,Massimo,,Centro Storico,43.7702,11.26216,Entire home/apt,125,3,13,2020-01-05,0.21,1,324,0,
5769183,ANGUILLARA - Huge flat in the heart of Florence,4614096,Cristina,,Centro Storico,43.76889,11.25699,Entire home/apt,370,2,16,2019-08-05,0.22,20,26,0,
5772594,Nuovissimo bilocale fuori porta,29948712,Claudia,,Gavinana Galluzzo,43.74012,11.23335,Entire home/apt,100,1,2,2015-09-05,0.03,1,362,0,
5776344,Tipical Central Flat,13522401,Alessia,,Centro Storico,43.78041,11.25636,Entire home/apt,40,2,57,2021-07-27,0.74,2,0,12,
5785509,Uffizi Vintage Apartment + dinner,29567322,Emanuela,,Centro Storico,43.76786,11.25916,Entire home/apt,51,3,86,2019-09-20,1.14,2,322,0,
5788199,Palazzo Apartment in Santo Spirito,30032114,Viktoria & William,,Centro Storico,43.76763,11.2476,Entire home/apt,50,3,32,2017-11-27,0.43,1,0,2,
5789231,rifugio Sant'Ambrogio,9164915,Giulia,,Centro Storico,43.77126,11.26669,Entire home/apt,77,15,28,2015-07-10,0.35,1,341,0,
5791167,Santa Maria Novella Views From Apartment Near Train Station,9905991,Gaia,,Centro Storico,43.77486,11.25009,Entire home/apt,120,2,226,2019-10-10,2.90,2,139,0,
5791194,Sweet Santa Maria Novella Place,9905991,Gaia,,Centro Storico,43.7737,11.24914,Entire home/apt,50,2,216,2019-10-14,2.78,2,233,0,
5796026,Apartment near Palazzo Pitti.,30070066,Moma,,Centro Storico,43.76735,11.24676,Entire home/apt,50,1,100,2018-09-21,1.25,1,0,0,
5801912,"Arnolfo b&b Florance ""Perseo""",30101147,Giovanna,,Centro Storico,43.76809,11.25709,Hotel room,60,1,36,2019-10-24,0.46,3,352,0,
5803622,"Arnolfo b&b Florence ""Biancone""",30101147,Giovanna,,Centro Storico,43.76805,11.25918,Hotel room,50,2,219,2020-03-08,2.77,3,352,0,
5818521,Ponte Vecchio Flat,28328041,Lucio,,Centro Storico,43.76744,11.25195,Entire home/apt,65,3,80,2019-06-25,1.45,1,50,0,
5827985,"GARAGE FREE, FLORENCE 600 mt CENTER",30219524,Alessandro,,Centro Storico,43.78075,11.24349,Entire home/apt,85,2,124,2018-06-22,1.56,2,111,0,
5829248,Cozy Room With Balcony Steps From Santa Croce,13557585,Maria Cristina,,Centro Storico,43.76901,11.26295,Private room,77,1,5,2016-06-26,0.12,5,187,1,
5830018,CasaFirenze,30261606,Stefano,,Centro Storico,43.78747,11.23055,Private room,35,1,14,2015-06-12,0.18,1,0,0,
5831373,B&B AmCollectionFlorence,30268298,Alberto,,Centro Storico,43.77239,11.2499,Hotel room,69,2,251,2021-09-29,3.20,4,100,4,
5833482,"Beautiful,comfortable in the center",30279695,Simone,,Centro Storico,43.75992,11.24154,Entire home/apt,150,3,9,2018-12-06,0.11,1,202,0,
5834540,B&B AmCollectionFlorence,30268298,Alberto,,Centro Storico,43.77239,11.2499,Hotel room,69,2,242,2021-10-14,3.08,4,103,38,
5834929,B&B AmCollectionFlorence,30268298,Alberto,,Centro Storico,43.7723,11.25005,Hotel room,68,2,185,2021-10-01,2.32,4,104,31,
5835622,Dorotea Suite in Florence,3685265,Bacci,,Isolotto Legnaia,43.77308,11.23287,Entire home/apt,79,2,437,2020-01-04,5.49,1,0,1,
5836211,"TAT openspace T2 (13' centro, 4' aeroporto) FI",30296997,Giò,,Rifredi,43.79198,11.21802,Entire home/apt,45,4,92,2019-10-12,1.19,1,172,1,
5841557,"Depandance ""Giardino di Trilly """,30328500,Lucia,,Rifredi,43.79263,11.24555,Entire home/apt,39,2,266,2020-01-03,3.38,1,36,3,
5842206,BIGI APARTMENT,22976414,Gherardo E Federica,,Campo di Marte,43.77489,11.27825,Entire home/apt,51,3,8,2019-01-13,0.14,1,0,0,
5848943,Really 15 min from the centre of Florence,30368150,Lorenzo,,Rifredi,43.79366,11.22102,Entire home/apt,50,2,302,2019-10-12,3.79,1,102,0,
5852304,B&B AmCollectionFlorence,30268298,Alberto,,Centro Storico,43.77239,11.2499,Hotel room,68,2,212,2021-09-26,2.66,4,109,14,
5854400,RENASCENTIA APARTMENT 3,3170412,Luca,,Centro Storico,43.77058,11.25558,Entire home/apt,179,2,319,2021-10-07,4.03,13,184,11,
5865790,Creativity and magic in Florence,8343063,Matteo,,Isolotto Legnaia,43.77165,11.23405,Entire home/apt,79,4,226,2019-09-19,2.86,2,115,0,
5869187,Luxury home in downtown Florence,30475009,Emanuela,,Centro Storico,43.76626,11.24875,Entire home/apt,180,3,222,2021-10-06,2.82,1,335,11,048017LTN0786
5877496,Nice room in citycenter with private toilet,30521907,Carlotta,,Centro Storico,43.78002,11.26128,Private room,56,25,30,2016-06-11,0.38,1,261,0,
5878425,TERRACE WITH VIEW ON THE DOME,5095014,Katia,,Centro Storico,43.7742,11.25692,Entire home/apt,91,2,293,2021-09-18,3.85,2,342,18,
5883246,Beautiful house in centre Florence,30552107,Debora,,Centro Storico,43.77272,11.26566,Entire home/apt,49,2,301,2021-10-05,3.94,1,268,30,
5883328,'Allegretto' Welcoming one-bedroom apartment,30117249,Alessandro,,Centro Storico,43.78429,11.23135,Entire home/apt,69,3,66,2019-12-04,0.83,1,254,0,
5889940,Cupola Suite,29313439,Bita,,Centro Storico,43.76956,11.25421,Entire home/apt,150,1,97,2019-09-12,1.23,5,78,0,
5890916,APARTMENT IN THE HEART OF FLORENCE,28267270,Sandra,,Centro Storico,43.76804,11.25811,Entire home/apt,85,3,84,2021-10-08,1.38,1,333,6,
5896253,Lovely Apartment in the city center,22237480,Alessia,,Centro Storico,43.78155,11.25984,Entire home/apt,90,2,12,2015-09-14,0.15,1,177,0,
5902914,"Apartment  2 rooms, 4 beds, a free parking.",30637010,Paola,,Isolotto Legnaia,43.76796,11.22164,Entire home/apt,65,2,174,2019-07-26,2.23,1,278,13,
5907636,SINGLE BEDROOM IN THE CITY CENTER,30116759,Mauro,,Centro Storico,43.78076,11.25751,Private room,29,3,383,2021-09-26,4.97,2,193,16,
5908091,single bedroom,30116759,Mauro,,Centro Storico,43.78,11.25792,Private room,25,2,434,2021-07-27,5.48,2,314,10,
5908373,Centro Storico Santa Maria Novella,15569761,Massimiliano,,Centro Storico,43.77581,11.24901,Entire home/apt,127,1,1,2015-07-03,0.01,1,0,0,
5908839,Palazzo Vecchio Suite,29313439,Bita,,Centro Storico,43.7696,11.25426,Entire home/apt,150,1,149,2021-10-08,1.95,5,75,11,
5909147,Uffizi Suite,29313439,Bita,,Centro Storico,43.76873,11.25389,Entire home/apt,150,1,119,2021-09-26,1.75,5,75,11,
5909451,Pitti Suite,29313439,Bita,,Centro Storico,43.76882,11.25332,Entire home/apt,150,1,161,2021-10-17,2.05,5,76,5,
5909749,Old Bridge Suite,29313439,Bita,,Centro Storico,43.76906,11.25542,Entire home/apt,150,1,67,2019-05-17,0.85,5,79,1,
5923730,San Lorenzo Ariento Apartment,7262932,Claudia,,Centro Storico,43.77548,11.2522,Entire home/apt,91,2,355,2021-10-09,4.57,2,317,26,
5927966,A Firenze SerenaMente,30657319,Serena,,Rifredi,43.81225,11.23257,Private room,35,2,21,2020-01-02,0.27,2,350,0,
5927968,nice apartement in the city center,30779305,Nicoletta,,Centro Storico,43.77213,11.26661,Entire home/apt,85,3,72,2019-09-16,0.93,5,38,3,
5928649,My Home Firenze - Fortezza da Basso,12256114,Roberto,,Rifredi,43.78333,11.25847,Entire home/apt,60,2,294,2019-12-24,3.73,1,0,0,
5932089,"Arnolfo b&b Florence ""Medusa""",30101147,Giovanna,,Centro Storico,43.76846,11.25897,Hotel room,50,2,193,2019-10-19,2.46,3,352,0,
5944935,Unique Apartments - Ponte Vecchio,30862279,Florjan,,Centro Storico,43.7686,11.25346,Entire home/apt,84,1,264,2021-10-01,3.35,14,248,61,
5952994,Courtly Knights (Historical Center),9700697,Marc,,Centro Storico,43.77425,11.26539,Entire home/apt,38,2,121,2021-10-09,2.78,1,123,17,
5957079,Nicolo' Apartment: Florence & Pitti,30922902,Gian Luca,,Centro Storico,43.78578,11.23995,Entire home/apt,59,2,286,2019-12-28,3.81,1,0,0,
5961948,CASA Terratetto indipendente,29470716,Antonio,,Rifredi,43.79844,11.23892,Entire home/apt,49,1,0,,,1,277,0,
5970409,Casa Al Prato,30994209,Eugenia,,Centro Storico,43.77809,11.23948,Entire home/apt,76,2,39,2018-05-21,0.50,1,202,0,
5973820,Renaissance Palace in Santa Croce,2827651,Elisabetta,,Centro Storico,43.76767,11.26184,Entire home/apt,425,2,91,2021-07-19,1.16,1,271,1,
5986691,Il piccolo Giglio Vigna Vecchia,31082019,Nicola,,Centro Storico,43.76901,11.25847,Entire home/apt,60,2,5,2018-09-07,0.08,1,292,0,
5996553,appartament close to center florenc,8993344,Costanza,,Gavinana Galluzzo,43.75359,11.26718,Entire home/apt,80,2,35,2018-09-26,0.48,2,85,0,
5998522,appartamento 30mq a Firenze,31141665,Alda,,Gavinana Galluzzo,43.76256,11.27444,Entire home/apt,72,7,5,2019-04-30,0.12,1,363,0,
5998724,Pindemonte Lauren,4156491,Apartments Florence,,Centro Storico,43.76208,11.23954,Entire home/apt,182,3,0,,,136,0,0,
5999589,Firenze Oltrarno near Ponte Vecchio,31146487,Enrico,,Isolotto Legnaia,43.76733,11.23955,Entire home/apt,38,2,176,2021-09-26,2.33,1,303,7,
6001223,A cosy apt in the heart of Florence,31154015,Ivana,,Centro Storico,43.78101,11.25513,Entire home/apt,86,1,88,2021-10-06,1.11,1,356,4,
6008263,Modern & sunny in creative area / flex check-in,8485223,Francesco,,Centro Storico,43.76899,11.24194,Entire home/apt,60,3,197,2021-09-12,2.50,1,285,22,
6008848,Suite Michelangelo with Terrace,31192285,Luciano,,Gavinana Galluzzo,43.7633,11.27464,Entire home/apt,115,2,267,2019-10-14,3.39,1,343,13,
6008935,Elegant 2+2 Adjacent to Center,31195027,Apartment ViaMasaccio,,Campo di Marte,43.77716,11.27403,Entire home/apt,72,4,44,2019-09-04,0.59,1,352,0,
6012911,rent double room,23025222,Fabiola,,Centro Storico,43.77566,11.24552,Private room,27,2,281,2021-08-03,3.84,3,0,13,
6016757,Lorenzo Magnifico Typical Home Heart of Florence,30818209,Laura,,Centro Storico,43.78013,11.25592,Entire home/apt,115,1,61,2021-08-06,0.80,1,256,3,
6023744,CASINE 18 FLAT - THE BEST OF FLORENCE,1125260,Massimiliano,,Centro Storico,43.76745,11.26583,Entire home/apt,100,2,144,2020-02-09,1.96,53,0,0,
6028909,Suite Miele in Oltrarno,31290768,Masha,,Centro Storico,43.76629,11.24896,Entire home/apt,72,30,134,2020-03-01,1.79,1,49,0,
6036084,Cozy and modern open space,27305191,Maria Grazia,,Centro Storico,43.76345,11.24006,Entire home/apt,59,2,153,2021-08-10,2.00,1,350,10,
6036236,Camera sul giardino,22842248,Debora,,Campo di Marte,43.77672,11.27298,Private room,80,2,1,2015-07-30,0.01,4,365,0,
6039445,Central and sunny place in Florence,4259453,Claudia,,Centro Storico,43.76735,11.26236,Private room,43,2,288,2021-09-21,3.78,1,129,24,
6041089,Borgo Certosa - Florence,18149550,Stefano,,Gavinana Galluzzo,43.73008,11.22126,Entire home/apt,65,180,13,2016-08-05,0.17,1,363,0,
6063811,"Tipical & Cozy Apartment with Balcony, Central",21221189,Marco,,Centro Storico,43.76428,11.24558,Entire home/apt,41,3,173,2021-08-14,2.21,1,11,5,048017LTN0186
6068344,X-large apartment in the hearth of Florence!,688861,Massimo,,Centro Storico,43.77256,11.26415,Entire home/apt,278,2,79,2021-09-03,1.04,3,311,4,
6070212,STANZA DOPPIA CON USO BAGNO,27878242,Maria Novella,,Campo di Marte,43.77497,11.27259,Private room,120,1,2,2018-06-12,0.05,2,365,0,
6071705,app. vista duomo e SS. Annunziata,140664,Matteo,,Centro Storico,43.77704,11.26068,Entire home/apt,200,3,0,,,1,0,0,
6075705,Cozy Room in a Modern Flat,31536294,Matteo&Alessandra,,Campo di Marte,43.78205,11.28972,Private room,36,2,72,2017-07-01,0.93,1,0,0,
6075902,Il Giglio Apartment - Santa Croce,7807944,Claudia,,Centro Storico,43.77138,11.26109,Entire home/apt,65,2,84,2019-06-17,1.24,1,357,3,
6086808,Central Florence apartment (sleeps 8 people),31584432,Tommaso,,Centro Storico,43.7738,11.26903,Entire home/apt,95,3,26,2019-06-22,0.34,6,0,0,
6087316,Exclusive Loft - 5 minutes from Cathedral and SMN,31584432,Tommaso,,Centro Storico,43.77652,11.25472,Entire home/apt,125,3,27,2018-06-02,0.45,6,346,0,
6096248,Studio MONOLOCALE with View on Florence Jacopo,8099609,Roberto,,Centro Storico,43.78113,11.26042,Entire home/apt,53,7,27,2019-10-27,0.34,8,215,2,
6101548,da Lorenzo,24137351,Lorenzo,,Rifredi,43.79736,11.22963,Private room,30,3,54,2016-10-05,0.68,1,0,0,
6103782,Open Space a due passi dal centro,19583838,Lorenzo,,Gavinana Galluzzo,43.76412,11.27487,Entire home/apt,68,2,15,2015-06-17,0.20,1,0,0,
6118527,LA CUPOLA 2BR 1LVR 2BTH Apartament,9288345,Salvatore,,Centro Storico,43.77307,11.25693,Entire home/apt,105,2,24,2018-05-29,0.39,12,232,0,
6123473,Appartamento zona novoli - FI Nord - aeroporto,31772308,Massimo,,Rifredi,43.79649,11.21264,Entire home/apt,31,2,1,2015-07-11,0.01,2,307,0,
6127667,Tornaquinci Apt. 5,5700221,Federico,,Centro Storico,43.7705,11.25681,Entire home/apt,104,2,121,2021-08-12,1.57,46,281,3,
6127789,Tornaquinci Apt. 4,5700221,Federico,,Centro Storico,43.77068,11.25765,Entire home/apt,104,2,84,2018-09-08,1.13,46,115,1,
6128958,Vittoria Apartment,30738208,Vittoria,,Rifredi,43.78572,11.25264,Entire home/apt,64,2,70,2018-08-02,0.90,1,107,0,
6129118,LA CUPOLA the dome,31796789,Irene,,Centro Storico,43.77238,11.25625,Entire home/apt,126,2,42,2020-10-11,0.66,1,228,0,
